id,seed,sampler,objective,prior,macro_f1,balanced_accuracy,track_balanced_accuracy,tail_f1
A1,3407,S1,CE,none,0.9747269160501073,0.974108904338121,0.9884624112102928,0.9578947368421051
A1,2026,S1,CE,none,0.9552257448511041,0.9448881633793025,0.9867416022561951,0.9202251407129456
A1,17,S1,CE,none,0.9558584972053705,0.9496775825742546,0.9846197521041653,0.949860157640478
A4-I,3407,S0,Balanced Softmax,image-count,0.9623334387737854,0.9739374554893069,0.9848545735498501,0.9347839295207716
A4-I,2026,S0,Balanced Softmax,image-count,0.9345167317945441,0.9570610880452395,0.9799947577597349,0.86017316017316
A4-I,17,S0,Balanced Softmax,image-count,0.9629160860451051,0.9779282629058479,0.9877851738066792,0.9174198121566542
A2,3407,S2,CE,none,0.9472147283831208,0.9555417670462709,0.9798875215925907,0.9058361666440001
A2,2026,S2,CE,none,0.9502197088631752,0.9624718011964309,0.9834576841489284,0.897958532695375
A2,17,S2,CE,none,0.9483674132000844,0.9611430867306313,0.9797682166866053,0.9118015177829797
