id,run,species_id,tier,f1,val_support
A5-I,A5I_s1_balanced_image_seed407,12,tail,0.8421052631578947,10
A5-I,A5I_s1_balanced_image_seed407,13,tail,0.9,9
A5-I,A5I_s1_balanced_image_seed407,14,tail,0.8125,14
A5-I,A5I_s1_balanced_image_seed407,15,tail,0.9090909090909091,5
A5-I,A5I_s1_balanced_image_seed407,16,mid,1.0,43
A5-I,A5I_s1_balanced_image_seed407,2,head,0.9960681520314548,380
A5-I,A5I_s1_balanced_image_seed407,3,head,0.9918552036199095,552
A5-I,A5I_s1_balanced_image_seed407,4,head,1.0,728
A5-I,A5I_s1_balanced_image_seed407,5,head,1.0,358
A5-I,A5I_s1_balanced_image_seed407,6,mid,0.9666666666666667,30
A5-I,A5I_s1_balanced_image_seed407,7,head,1.0,65
A5-I,A5I_s1_balanced_image_seed407,8,mid,0.8070175438596491,28
A5-I,A5I_s1_balanced_image_seed407,9,mid,1.0,40
A5-T,A5T_s1_balanced_track_seed407,1,head,0.9958414194621569,1808
A5-T,A5T_s1_balanced_track_seed407,10,mid,1.0,33
A5-T,A5T_s1_balanced_track_seed407,11,tail,0.9545454545454546,21
A5-T,A5T_s1_balanced_track_seed407,12,tail,0.8421052631578947,10
A5-T,A5T_s1_balanced_track_seed407,13,tail,0.9,9
A5-T,A5T_s1_balanced_track_seed407,14,tail,0.9629629629629629,14
A5-T,A5T_s1_balanced_track_seed407,15,tail,0.9090909090909091,5
A5-T,A5T_s1_balanced_track_seed407,16,mid,1.0,43
A5-T,A5T_s1_balanced_track_seed407,2,head,0.9973753280839895,380
A5-T,A5T_s1_balanced_track_seed407,3,head,0.9936651583710407,552
A5-T,A5T_s1_balanced_track_seed407,4,head,0.9993127147766323,728
A5-T,A5T_s1_balanced_track_seed407,5,head,1.0,358
A5-T,A5T_s1_balanced_track_seed407,6,mid,0.9830508474576272,30
A5-T,A5T_s1_balanced_track_seed407,7,head,1.0,65
A5-T,A5T_s1_balanced_track_seed407,8,mid,0.9,28
A5-T,A5T_s1_balanced_track_seed407,9,mid,0.9876543209876543,40
