fold,method,original_macro_f1_mean,original_macro_f1_sd
1,F0,0.9496428450879253,0.0032846972490474234
1,F1,0.958565998716918,0.000481161930840336
2,F0,0.9605417255126292,0.006811347253269094
2,F1,0.9651457137145676,0.0025292839781242324
3,F0,0.9629776717310451,0.009498975361972306
3,F1,0.9430939187695464,0.033087076649394816
