fold,seed,method,cross_suppressed_macro_f1,head_f1,mid_f1,tail_f1,group_balanced_accuracy,dar,dar_flip,agreement
1,3407,F0,0.6918877631312459,0.790117750680036,0.682732145831846,0.5831673953720975,0.8333156209622007,0.009461924304605563,0.00953146531924667,0.8458732330141359
1,3407,F1,0.7874067817652797,0.8315095809943074,0.7549084533675857,0.7669817510881399,0.8762135883407034,0.011855905152758778,0.011941669537260306,0.8885088919288646
1,2026,F0,0.6628836546138901,0.8083212226390594,0.6351131953395124,0.5161290322580645,0.8606404970371216,0.007637938896488828,0.0074850299401197605,0.8668490652074783
1,2026,F1,0.7918750440977099,0.8412345583496953,0.7859103785831004,0.7386082925099371,0.8671902654083159,0.012767897856817145,0.012412366394667279,0.8809849521203831
1,17,F0,0.6667414556950098,0.7748280559048021,0.6683474521249024,0.5354315390133662,0.8241608665552936,0.009233926128590971,0.009317841941792247,0.8396032831737346
1,17,F1,0.797529207667049,0.8613699037860306,0.8003347592054579,0.7181148207858625,0.8863347371938823,0.012881896944824441,0.012863213506374182,0.9002507979936161
2,3407,F0,0.6240572471286527,0.7762897444608242,0.657397924988763,0.40803757246993644,0.8164684589067301,0.009384664604884291,0.009256269508126143,0.8191319185240482
2,3407,F1,0.7715235779320679,0.8628103008441682,0.7826594601368445,0.6508436282327713,0.8810961323889531,0.015036792151007785,0.015047291487532245,0.8909032739682201
2,2026,F0,0.6340719522413432,0.7833700637231592,0.6545646902315464,0.4344214804729611,0.7900015056296386,0.010024528100671856,0.009903121636167923,0.8135864348938893
2,2026,F1,0.7216526723197363,0.8167348164408463,0.7726885945308021,0.5565181771633384,0.8708162706656648,0.01237069425189293,0.012227823661911401,0.880665458035619
2,17,F0,0.6357805252207298,0.7805587087964828,0.6771902501093207,0.4206369800412354,0.8133085380827365,0.011197611176282393,0.011179189508760614,0.8236109629945612
2,17,F1,0.7537326369380126,0.8087052476399551,0.7807829752273936,0.6607151658063009,0.857601868028928,0.011837474672069958,0.011811446365295823,0.8637090753972486
3,3407,F0,0.6185213570926673,0.7329273997692818,0.5556458647396384,0.5441095982337585,0.8010367811741707,0.006121994657168299,0.006161774591082232,0.8085485307212823
3,3407,F1,0.7236748578907668,0.8289297828880448,0.6619163255335094,0.6591274802512908,0.8413568375061902,0.008459483526268923,0.008502069582727374,0.8510685663401603
3,2026,F0,0.6415117599483535,0.7960254299231737,0.4449813792934714,0.6526257366334512,0.8294142915889532,0.007791629563668744,0.00785105428443248,0.8261353517364203
3,2026,F1,0.7534763661519285,0.875134676298516,0.6887553422837416,0.6722074178442103,0.8822310313201713,0.008459483526268923,0.00853836647567689,0.8922528940338379
3,17,F0,0.6680888279577304,0.833606494571205,0.4852466731680548,0.6523097828112366,0.8348615941096285,0.008125556544968833,0.008199483320229137,0.8379341050756901
3,17,F1,0.685680381234814,0.8193978293492928,0.5970995615828035,0.6138002631494497,0.8673738049581279,0.008904719501335707,0.008456421242530161,0.868766696349065
