seed,fold,method,n_images,n_groups,original_accuracy,original_balanced_accuracy,original_macro_f1,original_weighted_f1,original_head_f1,original_mid_f1,original_tail_f1,original_track_balanced_accuracy,foreground_accuracy,foreground_balanced_accuracy,foreground_macro_f1,foreground_weighted_f1,foreground_head_f1,foreground_mid_f1,foreground_tail_f1,foreground_track_balanced_accuracy,same_swap_accuracy,same_swap_balanced_accuracy,same_swap_macro_f1,same_swap_weighted_f1,same_swap_head_f1,same_swap_mid_f1,same_swap_tail_f1,same_swap_track_balanced_accuracy,cross_swap_accuracy,cross_swap_balanced_accuracy,cross_swap_macro_f1,cross_swap_weighted_f1,cross_swap_head_f1,cross_swap_mid_f1,cross_swap_tail_f1,cross_swap_track_balanced_accuracy,dar,dar_flip,prediction_agreement,delta_foreground_macro_f1,delta_same_swap_macro_f1,delta_cross_swap_macro_f1
17,1,F0,8772,2894,0.9909940720474236,0.9301130749568431,0.9471698018220585,0.9908895173895613,0.9919209315626246,0.9409757785874981,0.8996624693679391,0.9865572423362374,0.9770861833105335,0.8279450394812655,0.8718945358773234,0.9741343163881373,0.9780388146277631,0.9060671817189225,0.7103487555351962,0.9757152392648245,0.9847241222070223,0.9176556325561438,0.92640951672419,0.9846518423416369,0.9859879505734712,0.9132727698536725,0.8680521429755702,0.9852033746234551,0.7258321933424533,0.558561773077938,0.543555428755374,0.7171956093304751,0.624912169078426,0.5175496322597544,0.4719331368633314,0.7017289293410708,0.2160282717738258,0.21269987346140573,0.72765617875057,0.0752752659447351,0.020760285097868425,0.40361437306668446
17,1,F1,8772,2894,0.9925900592795258,0.9466440557753761,0.9580793845467769,0.992529263343184,0.9954626604877221,0.9507832158132008,0.9205156221512187,0.988546561572904,0.9923620611035112,0.9432396446354805,0.958360255900242,0.9922657584818108,0.9912421350399669,0.955236377277458,0.922025879555356,0.9884144271799766,0.9839261285909713,0.9339338956538379,0.9380206500089169,0.9838754742781158,0.9855315271579612,0.9355409339801956,0.8834873134587852,0.9829796016178084,0.7888736890104879,0.6103872792859213,0.633885237474454,0.7857543335927095,0.7261303237982369,0.661649481153485,0.49542689020688363,0.7658395373791976,0.1662106703146375,0.1644653726886413,0.7900136798905609,-0.0002808713534651064,0.02005873453786,0.32419414707232286
17,2,F0,9377,2893,0.99210835021862,0.9445321961974675,0.9619694709094759,0.9919475935586995,0.9952555627591878,0.9623098470157293,0.9216857845835683,0.9894546759205957,0.9532899648075077,0.7959574167325334,0.8300766157636907,0.9467596951059697,0.9647651569459318,0.8635655089468794,0.6349614731618127,0.9576791138253565,0.9741921723365682,0.9054074253097195,0.9050319260463063,0.97460495807155,0.9830718981144737,0.875639039578329,0.8407768460324828,0.9704416092200081,0.7047029966940386,0.5205570030026824,0.5098669106690734,0.6969573564434652,0.6516486850393709,0.4861500908754926,0.3634456012182969,0.6859579782225982,0.21691372507198464,0.21390949156186176,0.707475738509118,0.1318928551457852,0.0569375448631696,0.4521025602404025
17,2,F1,9377,2893,0.993174789378266,0.950890274039685,0.9661440131504991,0.9928621728174579,0.9939608033111781,0.9624204688038726,0.9364874093043107,0.9914974607331202,0.9924282819665138,0.9433661653590059,0.9590171698946772,0.9920408986417448,0.9940190320744108,0.9480622577025096,0.9279698474711644,0.989448557965668,0.9832569051935587,0.9319607675635007,0.9344448796239659,0.9828751981449273,0.9858217915630756,0.9021429167035906,0.9050945482174096,0.9825346834830309,0.7320038391809748,0.5936279920333896,0.5887320489078521,0.7263048816450652,0.6868974238630082,0.5951799461646589,0.46448570170485814,0.7123079061438249,0.20870214354271088,0.20541178997100826,0.7348832249120187,0.007126843255821913,0.031699133526533196,0.377411964242647
17,3,F0,8984,2893,0.9909839715048976,0.9575557590136955,0.9558302802916822,0.9909320446545327,0.9929702237916144,0.9489336103798302,0.9181590180036153,0.9891722513219743,0.9707257346393589,0.7708258847700111,0.7984180648070488,0.9678642705776374,0.9714278179599488,0.6863678079813658,0.7028566178492516,0.9665971244263243,0.9827471059661621,0.9559193085714169,0.9335227415388143,0.9830817676441413,0.9902325691413338,0.9144243976694859,0.8845692922851194,0.979115185369061,0.7242876224398932,0.5384441623634941,0.5161035888951178,0.7218906000893689,0.6765566354429126,0.332965595418803,0.5066979265140791,0.7272879646710296,0.20770258236865538,0.20509940469504662,0.7264024933214603,0.15741221548463336,0.02230753875286784,0.4397266913965644
17,3,F1,8984,2893,0.9871994657168299,0.9197241234095554,0.912146215558085,0.9870508156441367,0.9565756891263287,0.8843518155996424,0.8866252472346348,0.9857392831045821,0.9896482635796973,0.9214382966583416,0.9373531126854795,0.9893534402959689,0.9909980831072986,0.9153447141649007,0.8949875466998755,0.9866363872353161,0.9727292965271594,0.8988358872208283,0.8523019161917261,0.9753139665566662,0.9516815115472547,0.8643171914566492,0.7210311265001688,0.9693798022719887,0.7458815672306323,0.5676932269347209,0.5046079009065989,0.7454327507503342,0.6536463601354272,0.3752549245291407,0.4551147262094631,0.7382616851950136,0.17531166518254676,0.17070695681587553,0.7477738201246661,-0.025206897127394545,0.05984429936635882,0.40753831465148604
2026,1,F0,8772,2894,0.989968080255358,0.9245422886849871,0.9483889292549177,0.9897349812172249,0.9901315442308948,0.9463806142737938,0.9003061062648692,0.9862706090518196,0.9722982216142271,0.7910960041422205,0.8266246784482334,0.9685502805001377,0.9661018928716198,0.852374395440938,0.6335023041474654,0.9735153031328689,0.9791381668946648,0.8922520569811063,0.9071067372309972,0.9788380656221233,0.9780723214889816,0.8934515198432724,0.8356032535091409,0.9784647191290065,0.7568399452804377,0.536489919463049,0.5432677958150259,0.7540592129412634,0.686005268950467,0.4892017559837923,0.42604886788373025,0.7528683259585127,0.18365253077975377,0.18021649009672963,0.760373917008664,0.1217642508066843,0.04128219202392047,0.40512113343989176
2026,1,F1,8772,2894,0.991906064751482,0.95057447943878,0.9590415164622809,0.9918816117955006,0.993117287757705,0.9257451121210775,0.9514469952489755,0.9865463897366484,0.9925900592795258,0.9511991103678701,0.9580330573921754,0.9925864203776065,0.9955705824342163,0.9232406471198477,0.947780437614054,0.9883634722480681,0.9830141358869129,0.9347928397203545,0.9377802840239445,0.9829774091405974,0.9812000847128101,0.9283826238632876,0.895074183357963,0.9775932633671638,0.7656178750569995,0.6404867790675715,0.6239039227698087,0.7647561928819508,0.699154304511004,0.6549600692860258,0.5025473181641567,0.7394017993267438,0.1745326037391701,0.17273876565911964,0.7659598723210215,0.001008459070105494,0.02126123243833633,0.3351375936924722
2026,2,F0,9377,2893,0.9907219793110803,0.9417814131175288,0.9531296733066117,0.9903942069319706,0.993499897044872,0.9446241208529699,0.9131909572743412,0.9893169384447951,0.9655540151434361,0.8239925581962699,0.8489502181923574,0.9597170041061395,0.9725489239566771,0.8898972656086057,0.659684723858925,0.9714361629880859,0.9801642316305855,0.9285584775229755,0.917928356932096,0.9803965305387716,0.9818956427371256,0.8881154836452989,0.8709804872528574,0.9760936180176085,0.6971312786605525,0.5348615031220187,0.5146365058507982,0.693028697590048,0.6742298228248353,0.4758070835192159,0.36195394781353596,0.6638580255203893,0.22395222352564786,0.22034445640473627,0.6994774448117735,0.1041794551142543,0.035201316374515734,0.43849316745581346
2026,2,F1,9377,2893,0.9942412285379119,0.9527540331852915,0.9670235002850117,0.9939146979086945,0.9977589664135135,0.971102231810888,0.9260622094049331,0.9922534831028826,0.993174789378266,0.9438818179472577,0.9598598443605186,0.9927576036111747,0.9953871777219944,0.9601076685621976,0.916979220125069,0.9915194990749712,0.9831502612775941,0.9334264081799092,0.9418293714164876,0.9827009446868099,0.9882705724733998,0.9268660651153485,0.9010632364493322,0.9843143357223859,0.7570651594326544,0.5664828429078115,0.5581031594129373,0.7477873915485965,0.6662929982450557,0.5645359539141861,0.42184255831314654,0.7403146556405266,0.19110589740855286,0.18899495870427974,0.7597312573317693,0.007163655924493084,0.025194128868524124,0.4089203408720744
