model,fold,method,seed,gap_name,gap_definition,gap
MobileNetV3-Large,1,MV1,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.33317992284565345
MobileNetV3-Large,2,MV0,3407,foreground_gap,original macro-F1 - view macro-F1,0.13248374528758577
MobileNetV3-Large,2,MV0,3407,same_swap_gap,original macro-F1 - view macro-F1,0.023871277691400072
MobileNetV3-Large,2,MV0,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.4255548905454134
MobileNetV3-Large,2,MV1,3407,foreground_gap,original macro-F1 - view macro-F1,0.0001380080137753925
MobileNetV3-Large,2,MV1,3407,same_swap_gap,original macro-F1 - view macro-F1,0.04713693737228819
MobileNetV3-Large,2,MV1,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.3475833693011705
MobileNetV3-Large,3,MV0,3407,foreground_gap,original macro-F1 - view macro-F1,0.14531087208253357
MobileNetV3-Large,3,MV0,3407,same_swap_gap,original macro-F1 - view macro-F1,0.03425429911300948
MobileNetV3-Large,3,MV0,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.5112224332222628
MobileNetV3-Large,3,MV1,3407,foreground_gap,original macro-F1 - view macro-F1,0.002838557133639008
MobileNetV3-Large,3,MV1,3407,same_swap_gap,original macro-F1 - view macro-F1,0.042304091873702876
MobileNetV3-Large,3,MV1,3407,cross_swap_gap,original macro-F1 - view macro-F1,0.40839568622119105
ResNet18,mean,F0,all,foreground_gap,original macro-F1 - view macro-F1,0.1246549056378391
ResNet18,mean,F0,all,same_swap_gap,original macro-F1 - view macro-F1,0.03477158143087533
ResNet18,mean,F0,all,cross_swap_gap,original macro-F1 - view macro-F1,0.4387874267070605
ResNet18,mean,F1,all,foreground_gap,original macro-F1 - view macro-F1,0.0005963103206063636
ResNet18,mean,F1,all,same_swap_gap,original macro-F1 - view macro-F1,0.02645570115161866
ResNet18,mean,F1,all,cross_swap_gap,original macro-F1 - view macro-F1,0.3643090618637088
MobileNetV3-Large,mean,MV0,all,foreground_gap,original macro-F1 - view macro-F1,0.14046946801055116
MobileNetV3-Large,mean,MV0,all,same_swap_gap,original macro-F1 - view macro-F1,0.031069553649685444
MobileNetV3-Large,mean,MV0,all,cross_swap_gap,original macro-F1 - view macro-F1,0.4406944792201727
MobileNetV3-Large,mean,MV1,all,foreground_gap,original macro-F1 - view macro-F1,0.008820923753875998
MobileNetV3-Large,mean,MV1,all,same_swap_gap,original macro-F1 - view macro-F1,0.042549146762676626
MobileNetV3-Large,mean,MV1,all,cross_swap_gap,original macro-F1 - view macro-F1,0.3630529927893382
