species_id,tier,val_support,C0,C1,C2,c1_minus_c0,c2_minus_c1
1,head,1808,0.991652754590985,0.990550305725403,0.992797783933518,-0.001102448865581973,0.0022474782081149947
10,mid,33,1.0,1.0,1.0,0.0,0.0
11,tail,21,1.0,0.9545454545454546,0.9767441860465116,-0.045454545454545414,0.022198731501057
12,tail,10,0.8888888888888888,0.8695652173913043,0.8888888888888888,-0.019323671497584516,0.019323671497584516
13,tail,9,0.8571428571428571,0.9,0.9,0.04285714285714293,0.0
14,tail,14,0.8125,0.8666666666666667,0.8387096774193549,0.054166666666666696,-0.027956989247311825
15,tail,5,1.0,1.0,1.0,0.0,0.0
16,mid,43,0.9772727272727273,0.9555555555555556,0.9772727272727273,-0.02171717171717169,0.02171717171717169
2,head,380,0.9947229551451188,0.9947229551451188,0.994750656167979,0.0,2.7701022860204816e-05
3,head,552,0.9909584086799277,0.9927404718693285,0.9881710646041856,0.0017820631894007732,-0.004569407265142877
4,head,728,0.9986282578875172,0.9945205479452055,1.0,-0.004107709942311688,0.005479452054794498
5,head,358,0.9971988795518207,0.9971988795518207,0.9958041958041958,0.0,-0.0013946837476249696
6,mid,30,1.0,0.9655172413793104,0.9285714285714286,-0.03448275862068961,-0.036945812807881784
7,head,65,0.9545454545454546,1.0,1.0,0.045454545454545414,0.0
8,mid,28,0.782608695652174,0.8615384615384616,0.8709677419354839,0.07892976588628764,0.009429280397022288
9,mid,40,1.0,1.0,0.975609756097561,0.0,-0.024390243902439046
