seed,species_id,tier,val_support,C0,C1,C2,c1_minus_c0,c2_minus_c1
17,1,head,1808,0.9851415755536865,0.9851582189862783,0.990830786329536,1.6643432591778584e-05,0.005672567343257717
17,10,mid,33,1.0,1.0,1.0,0.0,0.0
17,11,tail,21,1.0,1.0,1.0,0.0,0.0
17,12,tail,10,0.8571428571428571,0.8888888888888888,0.8421052631578947,0.031746031746031744,-0.04678362573099415
17,13,tail,9,0.9,0.9,0.9,0.0,0.0
17,14,tail,14,0.7878787878787878,0.7368421052631579,0.9285714285714286,-0.05103668261562999,0.19172932330827075
17,15,tail,5,1.0,1.0,0.8333333333333334,0.0,-0.16666666666666663
17,16,mid,43,0.9772727272727273,0.9885057471264368,0.9772727272727273,0.011233019853709503,-0.011233019853709503
17,2,head,380,0.9934296977660972,0.9960474308300395,0.9973753280839895,0.002617733063942307,0.0013278972539499945
17,3,head,552,0.9777777777777777,0.974267968056788,0.991810737033667,-0.0035098097209897983,0.01754276897687901
17,4,head,728,0.9993127147766323,1.0,1.0,0.0006872852233676952,0.0
17,5,head,358,0.9943977591036415,0.9986013986013986,1.0,0.00420363949775715,0.0013986013986013734
17,6,mid,30,0.9375,0.9090909090909091,0.9830508474576272,-0.02840909090909094,0.0739599383667181
17,7,head,65,0.9848484848484849,1.0,1.0,0.015151515151515138,0.0
17,8,mid,28,0.8115942028985508,0.819672131147541,0.7123287671232876,0.00807792824899023,-0.10734336402425337
17,9,mid,40,0.9876543209876543,0.975609756097561,0.9873417721518988,-0.012044564890093312,0.011732016054337824
2026,1,head,1808,0.9885570750767513,0.9868457878533445,0.9891213389121339,-0.0017112872234067433,0.0022755510587894046
2026,10,mid,33,0.9850746268656716,1.0,1.0,0.014925373134328401,0.0
2026,11,tail,21,1.0,1.0,1.0,0.0,0.0
2026,12,tail,10,0.8333333333333334,0.7272727272727273,0.64,-0.10606060606060608,-0.08727272727272728
2026,13,tail,9,0.9473684210526315,0.9,0.9473684210526315,-0.047368421052631504,0.047368421052631504
2026,14,tail,14,0.896551724137931,0.9629629629629629,0.9285714285714286,0.06641123882503186,-0.034391534391534306
2026,15,tail,5,1.0,1.0,1.0,0.0,0.0
2026,16,mid,43,1.0,0.9772727272727273,0.9885057471264368,-0.022727272727272707,0.011233019853709503
2026,2,head,380,0.9806451612903225,0.9895833333333334,0.9895833333333334,0.008938172043010839,0.0
2026,3,head,552,0.9864253393665159,0.9891304347826086,0.990909090909091,0.002705095416092762,0.0017786561264823142
2026,4,head,728,0.9993127147766323,0.9986282578875172,0.9993127147766323,-0.0006844568891151148,0.0006844568891151148
2026,5,head,358,0.9943820224719101,0.9958275382475661,0.9958275382475661,0.0014455157756559922,0.0
2026,6,mid,30,0.8955223880597015,0.9836065573770492,0.9523809523809523,0.08808416931734764,-0.031225604996096834
2026,7,head,65,1.0,0.9770992366412213,0.984375,-0.022900763358778664,0.007275763358778664
2026,8,mid,28,0.8125,0.7088607594936709,0.7671232876712328,-0.10363924050632911,0.058262528177561945
2026,9,mid,40,1.0,1.0,1.0,0.0,0.0
3407,1,head,1808,0.991652754590985,0.990550305725403,0.992797783933518,-0.001102448865581973,0.0022474782081149947
3407,10,mid,33,1.0,1.0,1.0,0.0,0.0
3407,11,tail,21,1.0,0.9545454545454546,0.9767441860465116,-0.045454545454545414,0.022198731501057
3407,12,tail,10,0.8888888888888888,0.8695652173913043,0.8888888888888888,-0.019323671497584516,0.019323671497584516
3407,13,tail,9,0.8571428571428571,0.9,0.9,0.04285714285714293,0.0
3407,14,tail,14,0.8125,0.8666666666666667,0.8387096774193549,0.054166666666666696,-0.027956989247311825
3407,15,tail,5,1.0,1.0,1.0,0.0,0.0
3407,16,mid,43,0.9772727272727273,0.9555555555555556,0.9772727272727273,-0.02171717171717169,0.02171717171717169
3407,2,head,380,0.9947229551451188,0.9947229551451188,0.994750656167979,0.0,2.7701022860204816e-05
3407,3,head,552,0.9909584086799277,0.9927404718693285,0.9881710646041856,0.0017820631894007732,-0.004569407265142877
3407,4,head,728,0.9986282578875172,0.9945205479452055,1.0,-0.004107709942311688,0.005479452054794498
3407,5,head,358,0.9971988795518207,0.9971988795518207,0.9958041958041958,0.0,-0.0013946837476249696
3407,6,mid,30,1.0,0.9655172413793104,0.9285714285714286,-0.03448275862068961,-0.036945812807881784
3407,7,head,65,0.9545454545454546,1.0,1.0,0.045454545454545414,0.0
3407,8,mid,28,0.782608695652174,0.8615384615384616,0.8709677419354839,0.07892976588628764,0.009429280397022288
3407,9,mid,40,1.0,1.0,0.975609756097561,0.0,-0.024390243902439046
