run,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,track_balanced_accuracy
resnet18_image_seed3407,image,0.9968058968058968,0.9888419787432298,0.9912783454705704,0.9967979681131375,0.9956108266276518
resnet18_image_seed2026,image,0.9970515970515971,0.9847113908270185,0.9880343178735327,0.9970124557710788,0.9962204340404779
resnet18_image_seed17,image,0.9972972972972973,0.9930709656473753,0.9957821146764717,0.9972928322060166,0.9961594732991953
resnet18_track_seed3407,track,0.9944547134935305,0.9614320249814062,0.9756844885874625,0.9943747531196367,0.9892900935133534
resnet18_track_seed2026,track,0.9951478743068392,0.971096551094421,0.9661845083451829,0.9951650283275156,0.9910855608042123
resnet18_track_seed17,track,0.9923752310536045,0.9587953369919004,0.958947485908639,0.9923928368044407,0.9857709750566893
