method,fold,seed,clean_macro_f1,foreground_macro_f1,same_composite_macro_f1,cross_composite_macro_f1,dar_flip,agreement
F0_2RGB,2.0,1816.6666666666667,0.9551321124433377,0.8281752356876867,0.9187915369066295,0.5230024187653393,0.20367725167700323,0.7253544731654116
CXT-Fish,2.0,1816.6666666666667,0.9556018770670107,0.9550055667464044,0.9291461759153921,0.5912928152033019,0.17922567414357302,0.7617279406279994
