group_id,C0,C1,C2,seed,c1_minus_c0,c2_minus_c1
01::003434415293,1.0,1.0,1.0,3407,0.0,0.0
01::003436795295,1.0,1.0,1.0,3407,0.0,0.0
01::003446215305,1.0,1.0,1.0,3407,0.0,0.0
01::003446265305,1.0,1.0,0.6666666666666666,3407,0.0,-0.33333333333333337
01::003446555306,1.0,1.0,1.0,3407,0.0,0.0
01::003446715305,1.0,1.0,1.0,3407,0.0,0.0
01::003446945306,1.0,1.0,1.0,3407,0.0,0.0
01::003447115306,1.0,1.0,1.0,3407,0.0,0.0
01::003447235306,1.0,1.0,1.0,3407,0.0,0.0
01::003447285306,1.0,1.0,1.0,3407,0.0,0.0
01::003447475306,0.5,1.0,1.0,3407,0.5,0.0
01::003447605305,1.0,1.0,1.0,3407,0.0,0.0
01::003447715306,1.0,1.0,1.0,3407,0.0,0.0
01::003447775306,1.0,1.0,1.0,3407,0.0,0.0
01::003447965305,1.0,1.0,1.0,3407,0.0,0.0
01::003453695309,1.0,1.0,1.0,3407,0.0,0.0
01::003456125311,1.0,1.0,1.0,3407,0.0,0.0
01::003456205311,1.0,1.0,1.0,3407,0.0,0.0
01::003469375335,1.0,1.0,1.0,3407,0.0,0.0
01::003473785342,1.0,1.0,1.0,3407,0.0,0.0
01::003473915342,1.0,1.0,1.0,3407,0.0,0.0
01::003474115342,1.0,1.0,1.0,3407,0.0,0.0
01::003474445342,1.0,1.0,1.0,3407,0.0,0.0
01::003474575342,1.0,1.0,1.0,3407,0.0,0.0
01::003477485348,1.0,1.0,1.0,3407,0.0,0.0
01::003480435354,1.0,1.0,1.0,3407,0.0,0.0
01::003480575354,1.0,1.0,1.0,3407,0.0,0.0
01::003480805354,1.0,1.0,1.0,3407,0.0,0.0
01::003486355364,0.0,1.0,0.0,3407,1.0,-1.0
01::003490145366,1.0,1.0,1.0,3407,0.0,0.0
01::003490595366,1.0,1.0,1.0,3407,0.0,0.0
01::003490735366,1.0,1.0,1.0,3407,0.0,0.0
01::003490795366,1.0,1.0,1.0,3407,0.0,0.0
01::003490845366,1.0,1.0,1.0,3407,0.0,0.0
01::003493665369,1.0,1.0,1.0,3407,0.0,0.0
01::003494685372,1.0,1.0,1.0,3407,0.0,0.0
01::003496725374,1.0,1.0,1.0,3407,0.0,0.0
01::003496825374,1.0,1.0,1.0,3407,0.0,0.0
01::003496965374,1.0,1.0,1.0,3407,0.0,0.0
01::003497135374,1.0,1.0,1.0,3407,0.0,0.0
01::003497465374,1.0,1.0,1.0,3407,0.0,0.0
01::003497545374,1.0,1.0,1.0,3407,0.0,0.0
01::003497615374,1.0,1.0,1.0,3407,0.0,0.0
01::003497655374,1.0,1.0,1.0,3407,0.0,0.0
01::003497685374,1.0,1.0,1.0,3407,0.0,0.0
01::003497725374,1.0,1.0,1.0,3407,0.0,0.0
01::003497805374,1.0,1.0,1.0,3407,0.0,0.0
01::003497825374,1.0,1.0,1.0,3407,0.0,0.0
01::003500755378,1.0,1.0,1.0,3407,0.0,0.0
01::003500785378,1.0,1.0,1.0,3407,0.0,0.0
01::003500805378,1.0,1.0,1.0,3407,0.0,0.0
01::003500865378,1.0,1.0,1.0,3407,0.0,0.0
01::003500895378,1.0,1.0,1.0,3407,0.0,0.0
01::003500935378,1.0,1.0,1.0,3407,0.0,0.0
01::003500975378,1.0,1.0,1.0,3407,0.0,0.0
01::003501235378,1.0,1.0,1.0,3407,0.0,0.0
01::003501355378,1.0,1.0,1.0,3407,0.0,0.0
01::003501385378,1.0,1.0,1.0,3407,0.0,0.0
01::003501465378,1.0,1.0,1.0,3407,0.0,0.0
01::003501535378,1.0,1.0,1.0,3407,0.0,0.0
01::003503135380,1.0,1.0,1.0,3407,0.0,0.0
01::003506425386,1.0,1.0,1.0,3407,0.0,0.0
01::003506685386,1.0,1.0,1.0,3407,0.0,0.0
01::003510805403,1.0,1.0,1.0,3407,0.0,0.0
01::003515925415,1.0,1.0,1.0,3407,0.0,0.0
01::003515955414,1.0,1.0,1.0,3407,0.0,0.0
01::003516245415,1.0,1.0,1.0,3407,0.0,0.0
01::003516385414,1.0,1.0,1.0,3407,0.0,0.0
01::003516455415,1.0,0.8,1.0,3407,-0.19999999999999996,0.19999999999999996
01::003517405415,1.0,1.0,1.0,3407,0.0,0.0
01::003525465417,1.0,1.0,1.0,3407,0.0,0.0
01::003527245419,1.0,1.0,1.0,3407,0.0,0.0
01::003535125429,1.0,1.0,1.0,3407,0.0,0.0
01::003535135429,1.0,1.0,1.0,3407,0.0,0.0
01::003535445429,1.0,1.0,1.0,3407,0.0,0.0
01::003535535429,1.0,1.0,1.0,3407,0.0,0.0
01::003535705429,1.0,1.0,1.0,3407,0.0,0.0
01::003535715429,1.0,1.0,1.0,3407,0.0,0.0
01::003540715442,1.0,1.0,1.0,3407,0.0,0.0
01::003542735448,1.0,1.0,1.0,3407,0.0,0.0
01::003549895470,1.0,1.0,1.0,3407,0.0,0.0
01::003549925470,1.0,1.0,1.0,3407,0.0,0.0
01::003549935470,1.0,1.0,1.0,3407,0.0,0.0
