validation_rank,id,run,sampler,objective,prior,macro_f1,balanced_accuracy,track_balanced_accuracy,tail_f1,mid_f1,head_f1
1,A1,A1_s1_ce_seed407,S1,CE,none,0.9707188782051898,0.9688758019671233,0.9898775639287972,0.9702704673033462,0.9393285352418481,0.9972511730928444
2,A4-I,A4I_s0_balanced_image_seed407,S0,Balanced Softmax,image-count,0.974636229580576,0.9944510623362466,0.9871158738286234,0.9446251993620415,0.9773664727657325,0.9973702187750578
3,A2,A2_s2_ce_seed407,S2,CE,none,0.9531127014798162,0.9543488639956978,0.983986784678029,0.9200102875666023,0.9379414298018949,0.9933407728057623
4,A5-T,A5T_s1_balanced_track_seed407,S1,Balanced Softmax,track-count,0.96410027368102,0.9778798895249934,0.9886903745966726,0.9137409179514442,0.9741410336890564,0.9976991034489698
5,A3,A3_s3_ce_seed407,S3,CE,none,0.9535342306959174,0.9574656117737591,0.9880403774412992,0.9057142857142857,0.9493787519195868,0.9968470838275524
6,A5-I,A5I_s1_balanced_image_seed407,S1,Balanced Softmax,image-count,0.948480374727274,0.9688548079389508,0.987387535659425,0.8836483253588516,0.9547368421052631,0.9972933597193018
7,A0,A0_s0_ce_seed407,S0,CE,none,0.9442382076734673,0.9485080012973617,0.9842732792041549,0.8685213032581454,0.9586140147115756,0.9953557888211454
8,A4-T,A4T_s0_balanced_track_seed407,S0,Balanced Softmax,track-count,0.9123792759987153,0.9559076233053562,0.9746041081294538,0.8012324227496641,0.9288852139206192,0.9912467054380044
