seed,fold,method,view,species_id,f1,tier
3407,1,F1,cross_swap,1,0.8287688132247718,head
3407,1,F1,cross_swap,10,0.6143790849673203,mid
3407,1,F1,cross_swap,11,0.7307692307692307,tail
3407,1,F1,cross_swap,12,0.746031746031746,tail
3407,1,F1,cross_swap,13,0.8247422680412371,tail
3407,1,F1,cross_swap,14,0.6666666666666666,tail
3407,1,F1,cross_swap,15,0.4878048780487805,tail
3407,1,F1,cross_swap,16,0.2318840579710145,mid
3407,1,F1,cross_swap,2,0.718397997496871,head
3407,1,F1,cross_swap,3,0.7670349907918969,head
3407,1,F1,cross_swap,4,0.7149725274725275,head
3407,1,F1,cross_swap,5,0.799475753604194,head
3407,1,F1,cross_swap,6,0.37735849056603776,mid
3407,1,F1,cross_swap,7,0.29411764705882354,head
3407,1,F1,cross_swap,8,0.532258064516129,mid
3407,1,F1,cross_swap,9,0.7257383966244726,mid
3407,2,F0,original,1,0.9936023622047244,head
3407,2,F0,original,10,0.9922480620155039,mid
3407,2,F0,original,11,1.0,tail
3407,2,F0,original,12,0.950354609929078,tail
3407,2,F0,original,13,1.0,tail
3407,2,F0,original,14,0.8378378378378378,tail
3407,2,F0,original,15,0.9565217391304348,tail
3407,2,F0,original,16,0.9875518672199171,mid
3407,2,F0,original,2,0.9886104783599089,head
3407,2,F0,original,3,0.9860834990059643,head
3407,2,F0,original,4,0.9979619565217391,head
3407,2,F0,original,5,0.9978094194961665,head
3407,2,F0,original,6,0.9759036144578314,mid
3407,2,F0,original,7,0.9900990099009901,head
3407,2,F0,original,8,0.848,mid
3407,2,F0,original,9,0.9618320610687023,mid
3407,2,F0,foreground,1,0.9671952548117662,head
3407,2,F0,foreground,10,0.7070707070707071,mid
3407,2,F0,foreground,11,0.7301587301587301,tail
3407,2,F0,foreground,12,0.9264705882352942,tail
3407,2,F0,foreground,13,0.95,tail
3407,2,F0,foreground,14,0.7164179104477612,tail
3407,2,F0,foreground,15,0.8,tail
3407,2,F0,foreground,16,0.01652892561983471,mid
3407,2,F0,foreground,2,0.9447785675232367,head
3407,2,F0,foreground,3,0.9669354838709677,head
3407,2,F0,foreground,4,0.9776119402985075,head
3407,2,F0,foreground,5,0.9605963791267306,head
3407,2,F0,foreground,6,0.8333333333333334,mid
3407,2,F0,foreground,7,0.9302325581395349,head
3407,2,F0,foreground,8,0.7407407407407407,mid
3407,2,F0,foreground,9,0.9365079365079365,mid
3407,2,F0,same_swap,1,0.9845094664371773,head
3407,2,F0,same_swap,10,0.996078431372549,mid
3407,2,F0,same_swap,11,0.8571428571428571,tail
3407,2,F0,same_swap,12,0.9130434782608695,tail
3407,2,F0,same_swap,13,1.0,tail
3407,2,F0,same_swap,14,0.9,tail
