condition,accuracy,balanced_accuracy,macro_f1,weighted_f1,partition,seed
mask_only,0.9049466537342385,0.6933048964072169,0.712666224496979,0.9030981797471521,val,407
geometry_only,0.44059165858389915,0.08504277868714466,0.07679680387231877,0.2910905853250166,val,407
constant_fill_background,0.981086323957323,0.8677047520232715,0.895498918326101,0.9803799002333646,val,407
inpainted_background,0.9689621726479146,0.7753818014189326,0.8052954527139136,0.9678716793289773,val,407
shuffled_mask_background,0.9798739088263821,0.8752567795712868,0.8967775650871052,0.979243134592887,val,407
