donor_realization,donor_seed,fold,model_seed,F0,F1,delta_f1_f0,favorable
primary_3407,3407,1,17,0.543555428755374,0.633885237474454,0.09032980871908003,True
primary_3407,3407,1,2026,0.5432677958150259,0.6239039227698087,0.08063612695478273,True
primary_3407,3407,1,3407,0.5614868663435257,0.6287750383657325,0.06728817202220672,True
primary_3407,3407,2,17,0.5098669106690734,0.5887320489078521,0.07886513823877872,True
primary_3407,3407,2,2026,0.5146365058507982,0.5581031594129373,0.04346665356213908,True
primary_3407,3407,2,3407,0.4954150691346618,0.6312913666451446,0.1358762975104828,True
primary_3407,3407,3,17,0.5161035888951178,0.5046079009065989,-0.011495687988518855,False
primary_3407,3407,3,2026,0.4886248585631771,0.5883402835394254,0.09971542497624825,True
primary_3407,3407,3,3407,0.4974428626044991,0.5639963788077642,0.0665535162032651,True
sensitivity_4101,4101,1,17,0.5380762935756795,0.6481017648721401,0.11002547129646056,True
sensitivity_4101,4101,1,2026,0.5454528499326444,0.6404240587754413,0.09497120884279686,True
sensitivity_4101,4101,1,3407,0.5519924712821596,0.6466875790966575,0.09469510781449797,True
sensitivity_4101,4101,2,17,0.5067947424750975,0.5790546224503118,0.07225987997521433,True
sensitivity_4101,4101,2,2026,0.516092068492436,0.5628661283472792,0.046774059854843175,True
sensitivity_4101,4101,2,3407,0.5106515218237522,0.6593316916667941,0.1486801698430419,True
sensitivity_4101,4101,3,17,0.5083783913781521,0.5065776958704393,-0.0018006955077127795,False
sensitivity_4101,4101,3,2026,0.4690801885330874,0.5608593992183387,0.0917792106852513,True
sensitivity_4101,4101,3,3407,0.4865370382738185,0.549404893100657,0.06286785482683849,True
sensitivity_4102,4102,1,17,0.5251359143214829,0.6322012375961015,0.1070653232746186,True
sensitivity_4102,4102,1,2026,0.5305862856443546,0.6611880970464611,0.13060181140210647,True
sensitivity_4102,4102,1,3407,0.5428640484501109,0.6362989393744974,0.0934348909243865,True
sensitivity_4102,4102,2,17,0.5303605723129479,0.6302818245895738,0.09992125227662596,True
sensitivity_4102,4102,2,2026,0.5197997858580142,0.5898861894628002,0.07008640360478602,True
sensitivity_4102,4102,2,3407,0.509771570991956,0.658394800335915,0.148623229343959,True
sensitivity_4102,4102,3,17,0.5131018623550383,0.49108555220679845,-0.022016310148239848,False
sensitivity_4102,4102,3,2026,0.4716609842455123,0.5813950701593088,0.10973408591379652,True
sensitivity_4102,4102,3,3407,0.48789324130244816,0.5460271900108205,0.058133948708372296,True
sensitivity_4103,4103,1,17,0.5337244868881932,0.6345738374969496,0.10084935060875644,True
sensitivity_4103,4103,1,2026,0.5443589876175401,0.6439378115161093,0.0995788238985692,True
sensitivity_4103,4103,1,3407,0.5354550530622482,0.6337372980940781,0.09828224503182992,True
sensitivity_4103,4103,2,17,0.49370540760792064,0.5882130785452325,0.09450767093731188,True
sensitivity_4103,4103,2,2026,0.5016328091313853,0.5526826701206727,0.05104986098928743,True
sensitivity_4103,4103,2,3407,0.49212266032373586,0.6359439932096503,0.14382133288591448,True
sensitivity_4103,4103,3,17,0.5148377341925615,0.525211456930051,0.010373722737489488,True
sensitivity_4103,4103,3,2026,0.48698048888190903,0.5881204347733165,0.10113994589140751,True
sensitivity_4103,4103,3,3407,0.49760677524536007,0.5580798049534215,0.0604730297080614,True
sensitivity_4104,4104,1,17,0.5259732221225317,0.6264805327942541,0.10050731067172236,True
sensitivity_4104,4104,1,2026,0.5217427401493855,0.6557475347836275,0.13400479463424197,True
sensitivity_4104,4104,1,3407,0.5476160129206251,0.6304741712578698,0.08285815833724464,True
sensitivity_4104,4104,2,17,0.5110336975753144,0.5835095018596386,0.07247580428432421,True
sensitivity_4104,4104,2,2026,0.525311266478667,0.5700755960673923,0.04476432958872534,True
sensitivity_4104,4104,2,3407,0.5047953543173402,0.6373170937503878,0.13252173943304757,True
sensitivity_4104,4104,3,17,0.5274738236221816,0.5160681099705337,-0.011405713651647997,False
sensitivity_4104,4104,3,2026,0.4862465849635193,0.5867658722227649,0.10051928725924558,True
sensitivity_4104,4104,3,3407,0.5005974640846538,0.5628572379658632,0.0622597738812094,True
sensitivity_4105,4105,1,17,0.536351037346751,0.6494997877600049,0.1131487504132539,True
sensitivity_4105,4105,1,2026,0.5260623153131647,0.6366314545339313,0.11056913922076661,True
sensitivity_4105,4105,1,3407,0.5418179139373056,0.62774576693214,0.08592785299483441,True
sensitivity_4105,4105,2,17,0.5111790708723165,0.585991608207018,0.0748125373347015,True
sensitivity_4105,4105,2,2026,0.5243388302794807,0.5473379754958985,0.02299914521641777,True
sensitivity_4105,4105,2,3407,0.493142575695233,0.6420592475195084,0.14891667182427537,True
sensitivity_4105,4105,3,17,0.5151081156702807,0.5075257825369921,-0.007582333133288599,False
sensitivity_4105,4105,3,2026,0.4953835900780693,0.5814542286148459,0.08607063853677654,True
sensitivity_4105,4105,3,3407,0.5004498605072969,0.5625431611626102,0.062093300655313266,True
