seed,variant,original_macro_f1,original_tail_f1,track_balanced_accuracy,foreground_macro_f1,same_swap_macro_f1,cross_swap_macro_f1,dar,dar_flip,prediction_agreement,cross_swap_drop
3407,F0,0.9747269160501073,0.9578947368421051,0.9884624112102928,0.879768824247089,0.9257689978392557,0.5432945893733004,0.20368574199806014,0.20107500610798926,0.7349660523763336,0.43143232667680687
3407,F1,0.9749045316543216,0.967251461988304,0.9933947772657451,0.9768571893828696,0.9517714884597576,0.5785927265846849,0.2112027158098933,0.21057762612722397,0.7403006789524733,0.3963118050696367
3407,F2,0.9655860797816932,0.9394736842105263,0.9851748226172188,0.8055977245079274,0.9315655253850216,0.5105980421517821,0.18768186226964112,0.1858817782120176,0.7364209505334627,0.45498803762991114
3407,F3,0.9597780076102145,0.9578947368421051,0.9896660814863578,0.9618777156187104,0.916330861394369,0.599128270207602,0.1425800193986421,0.1409723918885903,0.7992240543161979,0.3606497374026125
2026,F0,0.9552257448511041,0.9202251407129456,0.9867416022561951,0.8331646150022183,0.9301864140564053,0.538055823916409,0.19616876818622697,0.1942815249266862,0.7364209505334627,0.41716992093469507
2026,F1,0.9671499389018465,0.9372050816696914,0.9870114353985322,0.9747548061316099,0.9386059512750933,0.5449036060194135,0.1842870999030068,0.18204001952171792,0.7475751697381183,0.4222463328824331
2026,F2,0.9552230863000581,0.907174501911344,0.9873616015321084,0.7384333060605521,0.9157035070038841,0.47245450580000836,0.21290009699321047,0.2113880742913001,0.6869544131910766,0.4827685805000498
2026,F3,0.958736055265552,0.9424148606811145,0.9900294278174462,0.9633818262432228,0.954080335303047,0.5621373334442921,0.18671193016488846,0.1851671139302269,0.757274490785645,0.3965987218212599
17,F0,0.9558584972053705,0.949860157640478,0.9846197521041653,0.8606815030444539,0.937303991591977,0.5393874900289813,0.2053831231813773,0.20318237454100369,0.742725509214355,0.4164710071763892
17,F1,0.9777861899962289,0.9820662768031188,0.9855753053909736,0.9870906471913278,0.9451439732935434,0.6296074340708933,0.14670223084384093,0.14435759648265756,0.8018913676042677,0.34817875592533565
17,F2,0.9584412411094854,0.9036432544776576,0.9867285428345336,0.7067306255351804,0.9222104478503007,0.5141827208637452,0.23035887487875847,0.2294921875,0.6864694471387003,0.4442585202457402
17,F3,0.9761059755913197,0.9620662768031188,0.9878916111635004,0.976986160804167,0.9479099528946582,0.6211742963366369,0.20732298739088265,0.2054159551110027,0.7429679922405431,0.35493167925468283
