seed,variant,macro_f1,balanced_accuracy,track_balanced_accuracy,head_f1,mid_f1,tail_f1
3407,C0,0.952882492459842,0.9766862297051244,0.9796686416502085,0.9879511184001375,0.9519762845849803,0.9117063492063492
3407,C1,0.9589451098321019,0.988889854884293,0.9832578261967291,0.9949555267061462,0.9565222516946654,0.9181554677206851
3407,C2,0.9580180066713646,0.9703844833155912,0.9838338312992692,0.9952539500849796,0.9504843307754403,0.9208685504709511
2026,C0,0.9574795504019625,0.988215642826343,0.9796156840610996,0.9915537188303554,0.9386194029850745,0.9354506957047792
2026,C1,0.9498181451952956,0.9798392417149031,0.977152573383558,0.9895190981242652,0.9339480088286896,0.9180471380471381
2026,C2,0.9483174283113398,0.9790243128080398,0.9813789640978581,0.9915215026964596,0.9416019974357244,0.9031879699248121
17,C0,0.9496219316254311,0.9863577251892088,0.9719909194179549,0.9891513349710532,0.9428042502317865,0.909004329004329
17,C1,0.9482927846305624,0.9782665085220512,0.9736055035594205,0.992345836079084,0.9385757086924895,0.9051461988304095
17,C2,0.9465013119072119,0.9732688081725572,0.9833965893297691,0.9966694752411988,0.9319988228011082,0.9008020050125312
