donor_realization,donor_seed,f0_mean_cross_f1,f1_mean_cross_f1,delta_f1_f0_equal_weight_cell_mean,delta_sd_across_9_cells,favorable_cells,cells
primary_3407,3407,0.518933320736806,0.5912928152033019,0.07235949446649606,0.04053147699407987,8,9
sensitivity_4101,4101,0.5147839517518695,0.5948119814886732,0.08002802973680352,0.04234686738387165,8,9
sensitivity_4102,4102,0.514574918386874,0.6029732111980307,0.08839829281115683,0.049765249331028584,8,9
sensitivity_4103,4103,0.5111582669945393,0.5956111539599425,0.08445288696540307,0.038359445367359475,9,9
sensitivity_4104,4104,0.5167544629149131,0.596588405630259,0.0798339427153459,0.04540436225252882,8,9
sensitivity_4105,4105,0.5159814788555442,0.5934210014181054,0.0774395225625612,0.0475172724470426,8,9
