id,sampler,objective,prior,macro_f1_mean,macro_f1_sd,tail_f1_mean,tail_f1_sd,track_balanced_accuracy_mean,track_balanced_accuracy_sd
A1,S1,CE,none,0.961937052702194,0.011080864010950583,0.942660011731843,0.01984014097638231,0.9866079218568844,0.001924814299704257
A2,S2,CE,none,0.9486006168154603,0.0015160029241545368,0.905198739040785,0.006943471357751618,0.9810378074760414,0.002096523491195552
A4-I,S0,Balanced Softmax,image-count,0.9532554188711448,0.016230793710622044,0.9041256339501954,0.039041556145976535,0.9842115017054214,0.003934819131033156
