fold,seed,donor_species,recipient_species,n,f0_correct,cxt_correct,delta_correct
1,2026,7,11,14,0.8571428571428571,1.0,0.14285714285714285
1,2026,7,14,1,0.0,1.0,1.0
1,2026,8,0,68,0.9558823529411765,0.9411764705882353,-0.014705882352941176
1,2026,8,2,1,0.0,0.0,0.0
1,2026,8,7,1,0.0,0.0,0.0
1,2026,8,8,6,1.0,1.0,0.0
1,2026,8,9,11,0.6363636363636364,0.9090909090909091,0.2727272727272727
1,2026,8,10,11,1.0,1.0,0.0
1,2026,8,11,6,0.3333333333333333,1.0,0.6666666666666666
1,2026,8,12,1,0.0,1.0,1.0
1,2026,9,0,105,0.9714285714285714,0.9523809523809523,-0.01904761904761905
1,2026,9,1,1,1.0,1.0,0.0
1,2026,9,2,1,0.0,1.0,1.0
1,2026,9,3,1,1.0,1.0,0.0
1,2026,9,8,14,0.9285714285714286,0.9285714285714286,0.0
1,2026,9,9,17,0.9411764705882353,0.9411764705882353,0.0
1,2026,9,10,19,0.8421052631578947,0.8947368421052632,0.05263157894736842
1,2026,9,11,10,0.9,1.0,0.1
1,2026,9,14,5,0.6,0.2,-0.4
1,17,1,1,43,0.06976744186046512,0.7209302325581395,0.6511627906976745
1,17,1,2,19,0.47368421052631576,0.47368421052631576,0.0
1,17,1,3,28,0.6785714285714286,0.7857142857142857,0.10714285714285714
1,17,1,4,19,0.8421052631578947,0.7894736842105263,-0.05263157894736842
1,17,1,5,7,0.8571428571428571,0.5714285714285714,-0.2857142857142857
1,17,1,6,10,0.6,0.4,-0.2
1,17,1,7,31,0.0,0.12903225806451613,0.12903225806451613
1,17,1,8,466,0.6266094420600858,0.7854077253218884,0.15879828326180256
1,17,1,9,606,0.4752475247524752,0.6237623762376238,0.1485148514851485
1,17,1,10,640,0.89375,0.8921875,-0.0015625
1,17,1,11,394,0.7817258883248731,0.9263959390862944,0.1446700507614213
1,17,1,12,21,0.47619047619047616,0.6190476190476191,0.14285714285714285
1,17,1,13,55,0.10909090909090909,0.32727272727272727,0.21818181818181817
1,17,1,14,34,0.47058823529411764,0.4411764705882353,-0.029411764705882353
1,17,1,15,50,0.9,0.92,0.02
1,17,10,0,73,0.8493150684931506,0.9041095890410958,0.0547945205479452
1,17,10,4,2,1.0,1.0,0.0
1,17,10,7,1,0.0,0.0,0.0
1,17,10,8,10,0.6,0.8,0.2
1,17,10,9,16,0.875,0.8125,-0.0625
1,17,10,10,17,0.9411764705882353,1.0,0.058823529411764705
1,17,10,11,7,0.7142857142857143,1.0,0.2857142857142857
1,17,10,13,2,0.0,0.5,0.5
1,17,10,15,2,1.0,1.0,0.0
1,17,11,0,30,0.9666666666666667,0.9666666666666667,0.0
1,17,11,3,1,0.0,1.0,1.0
1,17,11,4,1,1.0,1.0,0.0
1,17,11,8,2,0.0,0.5,0.5
1,17,11,9,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
1,17,11,10,7,0.8571428571428571,1.0,0.14285714285714285
1,17,11,11,5,0.8,1.0,0.2
1,17,11,13,1,1.0,1.0,0.0
1,17,12,0,40,1.0,1.0,0.0
1,17,12,1,1,1.0,1.0,0.0
1,17,12,8,6,0.8333333333333334,0.8333333333333334,0.0
1,17,12,9,10,0.2,0.8,0.6
1,17,12,10,12,0.8333333333333334,0.8333333333333334,0.0
1,17,12,11,4,1.0,1.0,0.0
1,17,12,12,1,0.0,0.0,0.0
1,17,12,15,1,1.0,1.0,0.0
1,17,13,0,39,0.6410256410256411,0.6923076923076923,0.05128205128205128
1,17,13,1,2,0.0,0.0,0.0
1,17,13,7,2,0.0,0.0,0.0
1,17,13,8,2,0.0,1.0,1.0
1,17,13,9,10,0.0,0.6,0.6
1,17,13,10,10,1.0,1.0,0.0
1,17,13,11,11,1.0,1.0,0.0
1,17,14,0,9,0.7777777777777778,1.0,0.2222222222222222
1,17,14,9,2,1.0,1.0,0.0
1,17,14,10,3,0.6666666666666666,0.6666666666666666,0.0
1,17,14,11,3,0.6666666666666666,0.6666666666666666,0.0
1,17,15,0,18,0.8888888888888888,1.0,0.1111111111111111
1,17,15,8,4,0.75,1.0,0.25
1,17,15,9,1,1.0,1.0,0.0
1,17,15,10,3,1.0,1.0,0.0
1,17,15,11,2,0.5,1.0,0.5
1,17,15,13,1,1.0,1.0,0.0
1,17,16,0,45,0.8222222222222222,0.9777777777777777,0.15555555555555556
1,17,16,2,2,0.5,1.0,0.5
1,17,16,4,1,1.0,1.0,0.0
1,17,16,8,2,0.0,0.5,0.5
1,17,16,9,8,0.25,0.875,0.625
1,17,16,10,5,0.6,1.0,0.4
1,17,16,11,9,0.4444444444444444,0.7777777777777778,0.3333333333333333
