variant,original_macro_f1,foreground_macro_f1,same_swap_macro_f1,cross_swap_macro_f1,original_tail_f1,cross_swap_tail_f1,track_balanced_accuracy,prediction_agreement,dar,dar_flip,delta_foreground,delta_same_swap,delta_cross_swap,delta_vs_f0_original_macro_f1,delta_vs_f0_foreground_macro_f1,delta_vs_f0_same_swap_macro_f1,delta_vs_f0_cross_swap_macro_f1,delta_vs_f0_dar,delta_vs_f0_dar_flip,delta_vs_f0_prediction_agreement
F0,0.9747269160501073,0.879768824247089,0.9257689978392557,0.5432945893733004,0.9578947368421051,0.5048560135516658,0.9884624112102928,0.7349660523763336,0.20368574199806014,0.20107500610798926,0.09495809180301829,0.0489579182108516,0.43143232667680687,,,,,,,
F1,0.9749045316543216,0.9768571893828696,0.9517714884597576,0.5785927265846849,0.967251461988304,0.595306319176375,0.9933947772657451,0.7403006789524733,0.2112027158098933,0.21057762612722397,-0.001952657728548024,0.023133043194563996,0.3963118050696367,0.00017761560421425404,0.09708836513578056,0.02600249062050186,0.03529813721138442,0.007516973811833166,0.009502620019234714,0.0053346265761397005
F2,0.9655860797816932,0.8055977245079274,0.9315655253850216,0.5105980421517821,0.9394736842105263,0.49009552538964307,0.9851748226172188,0.7364209505334627,0.18768186226964112,0.1858817782120176,0.15998835527376576,0.03402055439667162,0.45498803762991114,-0.00914083626841411,-0.07417109973916158,0.005796527545765873,-0.03269654722151838,-0.016003879728419018,-0.015193227895971662,0.0014548981571290698
F3,0.9597780076102145,0.9618777156187104,0.916330861394369,0.599128270207602,0.9578947368421051,0.6165820040687485,0.9896660814863578,0.7992240543161979,0.1425800193986421,0.1409723918885903,-0.002099708008495904,0.043447146215845445,0.3606497374026125,-0.014948908439892827,0.08210889137162136,-0.009438136444886669,0.05583368083430151,-0.061105722599418044,-0.06010261421939897,0.0642580019398643
