bin,n_cell_observations,n_unique_recipients,f0_correctness,cxt_correctness,paired_correctness_delta,dar_flip_f0,dar_flip_cxt
0,0,0,,,,,
"(0,1%]",5652,1884,0.8490799716914367,0.8818117480537863,0.03273177636234961,0.0017692852087756545,0.00194621372965322
"(1%,5%]",67083,22361,0.7258619918608291,0.771029918161084,0.04516792630025491,0.0014310630114932248,0.001281993947796014
"(5%,10%]",8586,2862,0.519916142557652,0.5950384346610762,0.07512229210342418,0.001397624039133473,0.0012811553692056836
>10%,78,26,0.3717948717948718,0.4230769230769231,0.05128205128205128,0.0,0.0
