run,split,species_id,f1,recall,precision,support,tier,train_images
resnet18_track_seed2026,track,13,0.9929078014184397,1.0,0.9859154929577465,70,tail,102
resnet18_track_seed2026,track,14,0.6666666666666666,0.75,0.6,4,tail,72
resnet18_track_seed2026,track,15,0.9565217391304348,1.0,0.9166666666666666,11,tail,26
resnet18_track_seed2026,track,16,1.0,1.0,1.0,35,mid,128
resnet18_track_seed2026,track,2,0.9953379953379954,0.9907192575406032,1.0,431,head,1872
resnet18_track_seed2026,track,3,0.9943502824858758,0.9924812030075187,0.9962264150943396,532,head,2509
resnet18_track_seed2026,track,4,0.9992082343626286,1.0,0.9984177215189873,631,head,2690
resnet18_track_seed2026,track,5,0.9986541049798116,0.9973118279569892,1.0,372,head,1804
resnet18_track_seed2026,track,6,0.9824561403508771,1.0,0.9655172413793104,28,mid,132
resnet18_track_seed2026,track,7,1.0,1.0,1.0,57,head,328
resnet18_track_seed2026,track,8,0.926829268292683,0.9047619047619048,0.95,42,mid,148
resnet18_track_seed2026,track,9,1.0,1.0,1.0,36,mid,165
resnet18_track_seed17,track,1,0.9950149551345963,0.9945191828599901,0.9955112219451372,2007,head,8297
resnet18_track_seed17,track,10,0.9876543209876543,0.975609756097561,1.0,41,mid,225
resnet18_track_seed17,track,11,0.9473684210526315,0.9,1.0,10,tail,67
resnet18_track_seed17,track,12,0.8780487804878049,0.8571428571428571,0.9,21,tail,116
resnet18_track_seed17,track,13,0.9784172661870504,0.9714285714285714,0.9855072463768116,70,tail,102
resnet18_track_seed17,track,14,0.75,0.75,0.75,4,tail,72
resnet18_track_seed17,track,15,1.0,1.0,1.0,11,tail,26
resnet18_track_seed17,track,16,1.0,1.0,1.0,35,mid,128
resnet18_track_seed17,track,2,0.9929906542056075,0.9860788863109049,1.0,431,head,1872
resnet18_track_seed17,track,3,0.9925093632958801,0.9962406015037594,0.9888059701492538,532,head,2509
resnet18_track_seed17,track,4,0.997624703087886,0.9984152139461173,0.9968354430379747,631,head,2690
resnet18_track_seed17,track,5,0.9959623149394348,0.9946236559139785,0.9973045822102425,372,head,1804
resnet18_track_seed17,track,6,0.9473684210526315,0.9642857142857143,0.9310344827586207,28,mid,132
resnet18_track_seed17,track,7,0.9743589743589743,1.0,0.95,57,head,328
resnet18_track_seed17,track,8,0.9195402298850575,0.9523809523809523,0.8888888888888888,42,mid,148
resnet18_track_seed17,track,9,0.9863013698630136,1.0,0.972972972972973,36,mid,165
